Asset Name – English,Asset Name – Arabic,Serial Number,Asset Category,Asset Sub Category,Manufacturer / Brand,Model,Manufacturer Year,Purchased From Store?,Asset Status,Purchase Date,Purchase Cost,Warranty Expiry Date,Asset Location,Notes – English,Notes – Arabic,@
Dell,,SN-2026-001,Admin,Desktop,Dell,"Inspiron 24 52420
(All-in-one)
Generic Monitor (DELL AIO)",,,RESERVED,,,,"Head Office - Workspace 1
",In Angel's use,,
Dell,,SN-2026-002,Accounts/HR ,Desktop,Dell,"Inspiron 24 52420
(All-in-one)
DESKTOP-NKU7SVO",,,RESERVED,,,,"Head Office - Workspace 1
",In Abdalla's use,,
Lenovo Legion,,SN-2026-003,Laptop,Laptop,Lenovo Legion,Lenovo Legion,,,RESERVED,,,,"Head Office - Workspace 1
","Shared asset used for meetings, 
presentations, and technical support.",,
BenQ,,SN-2026-004,Design Team,Monitors,BenQ,"DESKTOP-8LPGUA0
(MS-7A71)",,,RESERVED,,,,Head Office - Office 1 ,In Shaikha's use,,
ASUS,,SN-2026-005,Design Team,Monitors,ASUS,Z790 UD AX,,,RESERVED,,,,Head Office - Office 1 ,In Dana's use,,
ASUS (HDMI) + BenQ,,SN-2026-006,Design Team,2 Monitors,ASUS (HDMI) + BenQ,"Generic PnP Monitor
ZOWIE RL LCD",,,RESERVED,,,,Head Office - Office 1 ,In Nadeen's use,,
BenQ,,SN-2026-007,Design Team,Monitors,BenQ,DESKTOP-LL96Q6V,,,RESERVED,,,,Head Office - Office 2,In Afsal's use,,
Xiaomi,,SN-2026-008,Design Team,Monitors,Xiaomi,"DESKTOP-K08E7EV
MEK Ultra",,,RESERVED,,,,Head Office - Office 2,In Anbu's use,,
BenQ + Dell,,SN-2026-009,Design Team,2 Monitors,BenQ + Dell,"BenQ GW2780 (NVIDIA High Definition Audio)
Generic PnP Monitor",,,RESERVED,,,,Head Office - Office 2,In Montassar's use,,
ASUS,,SN-2026-010,Design Team,Monitors,ASUS,DESKTOP-SOMHVPM,,,RESERVED,,,,Head Office - Office 2,In Tixan's use,,
DELL,,SN-2026-011,Admin,Mouse,DELL,MS3121Wt,,,RESERVED,,,,"Head Office - Workspace 1
",In Angel's use,,
DELL,,SN-2026-012,Accounts/HR ,Mouse,DELL,MS3121Wt,,,RESERVED,,,,"Head Office - Workspace 1
",In Abdalla's use,,
DELL,,SN-2026-013,Admin,Keyboard ,DELL,Universal Receiver,,,RESERVED,,,,"Head Office - Workspace 1
",In Angel's use,,
DELL,,SN-2026-014,Accounts/HR ,Keyboard ,DELL,Universal Receiver,,,RESERVED,,,,"Head Office - Workspace 1
",In Abdalla's use,,
HP,,SN-2026-015,Design Team,Keyboard ,HP, HSA-AD04K ,,,RESERVED,,,,Head Office - Office 1 ,In Shaikha's use,,
HP,,SN-2026-016,Design Team,Mouse,HP,7CH4425587,,,RESERVED,,,,Head Office - Office 1 ,In Shaikha's use,,
Intel,,SN-2026-017,Design Team,CPU ,Intel, KK3-0009,,,RESERVED,,,,Head Office - Office 1 ,In Shaikha's use,,
Lenovo Legion,,SN-2026-018,Design Team,Keyboard,Lenovo Legion,PR1101U,,,RESERVED,,,,Head Office - Office 1 ,In Dana's use,,
HP,,SN-2026-019,Design Team,Mouse,HP,(MODGUO) ,,,RESERVED,,,,Head Office - Office 1 ,In Dana's use,,
LIAH L1,,SN-2026-020,Design Team,CPU,LIAH L1,,,,RESERVED,,,,Head Office - Office 1 ,In Dana's use,,
Lenovo,,SN-2026-021,Design Team,Keyboard,Lenovo,SK-8823,,,RESERVED,,,,Head Office - Office 1 ,In Nadeen's use,,
"Wireless Mouse
 (Kingston)",,SN-2026-022,Design Team,Mouse,"Wireless Mouse
 (Kingston)",GV3M61291-M,,,RESERVED,,,,Head Office - Office 1 ,In Nadeen's use,,
ZOTAC Gaming,,SN-2026-023,Design Team,CPU,ZOTAC Gaming,,,,RESERVED,,,,Head Office - Office 1 ,In Nadeen's use,,
CyberPowerPC ,,SN-2026-024,Design Team,Keyboard,CyberPowerPC ,Gaming Keyboard ,,,RESERVED,,,,Head Office - Office 2,In Afsal's use,,
 Logitech ,,SN-2026-025,Design Team,Mouse, Logitech , M90 (M-00026) ,,,RESERVED,,,,Head Office - Office 2,In Afsal's use,,
 ZOTAC Gaming,,SN-2026-026,Design Team,CPU, ZOTAC Gaming,,,,RESERVED,,,,Head Office - Office 2,In Afsal's use,,
 Philips,,SN-2026-027,Design Team, Mouse, Philips,SPK7404,,,RESERVED,,,,Head Office - Office 2,In Anbu's use,,
 ZOTAC Gaming,,SN-2026-028,Design Team,CPU, ZOTAC Gaming,,,,RESERVED,,,,Head Office - Office 2,In Anbu's use,,
HP,,SN-2026-029,Design Team,Keyboard,HP,HAS-A013K,,,RESERVED,,,,Head Office - Office 2,In Anbu's use,,
POSC,,SN-2026-030,Design Team,Keyboard,POSC,,,,RESERVED,,,,Head Office - Office 2,In Montassar's use,,
LAN HEAR ,,SN-2026-031,Design Team,Mouse,LAN HEAR ,Gaming Mouse ,,,RESERVED,,,,Head Office - Office 2,In Montassar's use,,
 ZOTAC Gaming,,SN-2026-032,Design Team, CPU, ZOTAC Gaming,,,,RESERVED,,,,Head Office - Office 2,In Montassar's use,,
Logitech ,,SN-2026-033,Design Team, Keyboard,Logitech ,,,,RESERVED,,,,Head Office - Office 2,In Tixan's use,,
Logitech M90 ,,SN-2026-034,Design Team,Mouse,Logitech M90 ,M-U0026,,,RESERVED,,,,Head Office - Office 2,In Tixan's use,,
 GeForce RTX,,SN-2026-035,Design Team,CPU, GeForce RTX,,,,RESERVED,,,,Head Office - Office 2,In Tixan's use,,
Brother,,SN-2026-036,Accounts/HR ,Printer,Brother,HL-L3270CDW,,,RESERVED,,,,Head Office - Office 1 ,In Abdalla's use,,
Toshiba,,SN-2026-037,Admin/Design Team,Printer,Toshiba,e-studio2020 AC,,,RESERVED,,,, Sever Room,Common Use,,
Kensington,,SN-2026-038,Storage,"Keyboard
(WIRELESS)",Kensington,M01369-K,,,DAMAGED,,,,"Head Office 
Store ",,,
Kensington,,SN-2026-039,Storage,"Keyboard
(WIRELESS)",Kensington,M01369-K,,,DAMAGED,,,,"Head Office 
Store ",,,
Microsoft Redmond,,SN-2026-040,Storage,"Keyboard
(WIRELESS 2000)",Microsoft Redmond,1477,,,DAMAGED,,,,"Head Office 
Store ",,,
Logitech MK710,,SN-2026-041,Storage,"Keyboard
(WIRELESS)",Logitech MK710,Y-R0059,,,DAMAGED,,,,"Head Office 
Store ",,,
Lenovo Ideapad 310,,SN-2026-042,Storage,Laptop,Lenovo Ideapad 310,80TU,2014,,DAMAGED,,,,"Head Office 
Store ",,,
Kensington,,SN-2026-043,Storage,Wireless Mouse,Kensington,M01291-M,,,DAMAGED,,,,"Head Office 
Store ",,,
Logitech M750,,SN-2026-044,Storage,Wireless Mouse,Logitech M750,M-R0073,,,DAMAGED,,,,"Head Office 
Store ",,,
LINKSYS N600,,SN-2026-045,Storage,Wi-Fi Router,LINKSYS N600,E2500,,,DAMAGED,,,,"Head Office 
Store ",,,
DELL KB212-B,,SN-2026-046,Storage,Keyboard,DELL KB212-B,SK-8120,,,DAMAGED,,,,"Head Office 
Store ",,,
Ronie 4118/4,,SN-2026-047,Storage,LED COB 10 W,Ronie 4118/4,"R411810N
3000 K",,,PURSHAED,,,,"Head Office 
Store ",,,
G.SKILL,,SN-2026-048,Storage,Memory Card,G.SKILL,Ripjaws V DDR4,,,PURSHAED,,,,"Head Office 
Store ",,,
G.SKILL,,SN-2026-049,Storage,Memory Card,G.SKILL,Ripjaws V DDR4,,,PURSHAED,,,,"Head Office 
Store ",,,
GIGABYTE,,SN-2026-050,Storage,Memory Card,GIGABYTE,12QM-AM51700-10CAR,,,PURSHAED,,,,"Head Office 
Store ",,,
GAMEMAX ,,SN-2026-051,Storage,MODULAR OUTPUT CABLE,GAMEMAX ,RGB-1300-PRO,,,PURSHAED,,,,"Head Office 
Store ",6 Cables in a pack,,
